0	2	11644.2232	3601.2165	3399.2550	3.1439e-02	3.0622e-02	3.1348e-02	-3.0952e-03	-3.0854e-03	3.0854e-03	
0	4	-5321.7164	3634.0754	3173.6652	1.4690e-02	1.3853e-02	1.4160e-02	-1.4491e-03	-1.4491e-03	1.4697e-03	
1	2	3960.5442	-6681.2467	-7279.0148	1.5182e-02	1.5956e-02	1.5007e-02	-1.4933e-03	-1.4933e-03	1.4387e-03	
1	3	-11167.6076	-394.5204	-907.9593	1.6432e-02	1.6495e-02	1.6340e-02	-1.6583e-03	-1.6492e-03	1.6882e-03	
3	2	15128.1647	-6286.7054	-6371.0583	1.2087e-02	1.2704e-02	1.1437e-02	-1.1958e-03	-1.2000e-03	1.1576e-03	
3	4	-1837.7459	-6253.8534	-6596.6697	1.1095e-02	1.1300e-02	1.1327e-02	-1.0909e-03	-1.1000e-03	1.1045e-03	
5	0	-1116.4523	-4596.1610	-4355.9062	8.6458e-03	8.1197e-03	8.7270e-03	-8.8882e-04	-9.0000e-04	9.3808e-04	
5	2	10527.7852	-994.9377	-956.6246	1.6022e-02	1.4707e-02	1.5482e-02	-1.5000e-03	-1.5067e-03	1.5492e-03	
5	4	-6438.1364	-962.0694	-1182.2305	9.7170e-03	9.9795e-03	9.3947e-03	-9.5917e-04	-9.4340e-04	1.0198e-03	
5	3	-4600.3787	5291.7785	5414.4311	9.6592e-03	9.9373e-03	1.0973e-02	-9.9499e-04	-9.9499e-04	9.4868e-04	
5	1	6567.2311	5686.2926	6322.3917	8.1505e-03	8.6400e-03	7.7769e-03	-8.0623e-04	-8.0000e-04	8.3066e-04	
1	5	-6567.2310	-5686.3033	-6322.3807	7.4243e-03	8.6441e-03	8.1419e-03	-7.9373e-04	-7.9373e-04	7.8102e-04	
0	5	1116.4577	4596.1553	4355.9141	8.1357e-03	9.0044e-03	9.6830e-03	-8.9443e-04	-9.0554e-04	9.4868e-04	
0	1	7683.6883	10282.4550	10678.3008	2.6907e-02	2.6004e-02	2.7037e-02	-2.6981e-03	-2.7000e-03	2.7423e-03	
